"A","278-B2","","","","","","","","","","","3790","","It is required that separate transaction sets be used for different patients."
"B","278-B2","7","0790","","","","","","","2","0700","4173","","Required when valued on the notification and the notification is not valid at this segment. If not required by this implementation guide, do not send."
"C","278-B2","7","0790","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-B2","7","0790","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-B2","7","0790","DTP","03","","","","","2","0700","","F","Certification Expiration Date"
"B","278-B2","7","07A0","","","","","","","2","0700","3974","A","Certification Effective Date"
"B","278-B2","7","07A0","","","","","","","2","0700","3992","E","DTP*007*RD8*20050701-20050731~"
"B","278-B2","7","07A0","","","","","","","2","0700","4028","","Use this segment to indicate the certification effective dates that prohibits the information receiver from accepting this notification."
"B","278-B2","7","07A0","","","","","","","2","0700","4173","","Required when valued on the notification and the notification is not valid at this segment. If not required by this implementation guide, do not send."
"C","278-B2","7","07A0","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-B2","7","07A0","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-B2","7","07A0","DTP","03","","","","","2","0700","","F","Certification Effective Date"
"B","278-B2","7","0810","","","","","","","2","0810","4029","","Use this segment to indicate the professional service data that prohibits the information receiver from accepting this notification."
"B","278-B2","7","0810","","","","","","","2","0810","4173","","Required when valued on the notification and the notification is not valid at this segment. If not required by this implementation guide, do not send."
"B","278-B2","7","0810","","","","","","","2","0810","4175","E","SV1*HC:99211:25*12.25*UN*1*******N~"
"B","278-B2","7","0810","","","","","","","2","0810","","A","Professional Service"
"D","278-B2","7","0810","SV1","01","C003","01","","","2","0810","","F","Product or Service ID Qualifier"
"E","278-B2","7","0810","SV1","01","C003","01","235","HC","2","0810","4176","","Because the AMA's CPT codes are also level 1 HCPCS codes, they are reported under HC."
"E","278-B2","7","0810","SV1","01","C003","01","235","IV","2","0810","4245","","This code set is not allowed for use under HIPAA at the time of this writing. Use only in non-HIPAA implementations."
"E","278-B2","7","0810","SV1","01","C003","01","235","WK","2","0810","4246","","This code set is not allowed for use under HIPAA at the time of this writing. The qualifier can only be used:
If a new rule names the Complimentary, Alternative, or Holistic Procedure Codes as an allowable code set under HIPAA, 
OR
The Secretary grants an exception to use the code set as a pilot project as allowed under the law, 
OR
For service reviews which are not covered under HIPAA."
"D","278-B2","7","0810","SV1","01","C003","02","","","2","0810","","F","Procedure Code"
"D","278-B2","7","0810","SV1","01","C003","03","","","2","0810","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","7","0810","SV1","01","C003","03","","","2","0810","","F","Procedure Modifier"
"D","278-B2","7","0810","SV1","01","C003","04","","","2","0810","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","7","0810","SV1","01","C003","04","","","2","0810","","F","Procedure Modifier"
"D","278-B2","7","0810","SV1","01","C003","05","","","2","0810","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","7","0810","SV1","01","C003","05","","","2","0810","","F","Procedure Modifier"
"D","278-B2","7","0810","SV1","01","C003","06","","","2","0810","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","7","0810","SV1","01","C003","06","","","2","0810","","F","Procedure Modifier"
"D","278-B2","7","0810","SV1","01","C003","08","","","2","0810","4230","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","7","0810","SV1","01","C003","08","","","2","0810","","F","Product or Service ID"
"C","278-B2","7","0810","SV1","02","","","","","2","0810","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","7","0810","SV1","02","","","","","2","0810","","F","Service Line Amount"
"C","278-B2","7","0810","SV1","03","","","","","2","0810","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","7","0810","SV1","03","","","","","2","0810","","F","Unit or Basis for Measurement Code"
"E","278-B2","7","0810","SV1","03","","","355","F2","2","0810","4177","","International Unit is used to indicate dosage amount. Dosage amount is only used for drug claims when the dosage of the drug is variable within a single NDC number (e.g., blood factors)."
"C","278-B2","7","0810","SV1","04","","","","","2","0810","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","7","0810","SV1","04","","","","","2","0810","","F","Service Unit Count"
"C","278-B2","7","0810","SV1","11","","","","","2","0810","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","7","0810","SV1","11","","","","","2","0810","","F","EPSDT Indicator"
"C","278-B2","7","0810","SV1","20","","","","","2","0810","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","7","0810","SV1","20","","","","","2","0810","","F","Nursing Home Level of Care"
"B","278-B2","7","0820","","","","","","","2","0820","4173","","Required when valued on the notification and the notification is not valid at this segment. If not required by this implementation guide, do not send."
"B","278-B2","7","0820","","","","","","","2","0820","4178","A","Institutional Service Line"
"B","278-B2","7","0820","","","","","","","2","0820","4179","E","SV2*300*HC:80019*73.42*UN*1~"
"B","278-B2","7","0820","","","","","","","2","0820","4180","E","SV2*120**1500*DA*5*300~"
"C","278-B2","7","0820","SV2","01","","","","","2","0820","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","7","0820","SV2","01","","","","","2","0820","4181","","See Code Source 132: National Uniform Billing Committee (NUBC) Codes."
"C","278-B2","7","0820","SV2","01","","","","","2","0820","","F","Service Line Revenue Code"
"C","278-B2","7","0820","SV2","02","","","","","2","0820","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","7","0820","SV2","02","C003","01","","","2","0820","","F","Product or Service ID Qualifier"
"E","278-B2","7","0820","SV2","02","C003","01","235","HC","2","0820","4176","","Because the AMA's CPT codes are also level 1 HCPCS codes, they are reported under HC."
"E","278-B2","7","0820","SV2","02","C003","01","235","IV","2","0820","4245","","This code set is not allowed for use under HIPAA at the time of this writing. Use only in non-HIPAA implementations."
"E","278-B2","7","0820","SV2","02","C003","01","235","ZZ","2","0820","4252","","Use this code when reporting ICD-10-PCS. This code can only be used if mandated by HIPAA or for services not covered under HIPAA.<R>CODE SOURCE 896: International Classification of Diseases, 10th Revision, Procedure Coding System"
"D","278-B2","7","0820","SV2","02","C003","02","","","2","0820","","F","Procedure Code"
"D","278-B2","7","0820","SV2","02","C003","03","","","2","0820","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","7","0820","SV2","02","C003","03","","","2","0820","","F","Procedure Modifier"
"D","278-B2","7","0820","SV2","02","C003","04","","","2","0820","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","7","0820","SV2","02","C003","04","","","2","0820","","F","Procedure Modifier"
"D","278-B2","7","0820","SV2","02","C003","05","","","2","0820","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","7","0820","SV2","02","C003","05","","","2","0820","","F","Procedure Modifier"
"D","278-B2","7","0820","SV2","02","C003","06","","","2","0820","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","7","0820","SV2","02","C003","06","","","2","0820","","F","Procedure Modifier"
"D","278-B2","7","0820","SV2","02","C003","08","","","2","0820","4230","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","7","0820","SV2","02","C003","08","","","2","0820","","F","Product or Service ID"
"C","278-B2","7","0820","SV2","03","","","","","2","0820","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","7","0820","SV2","03","","","","","2","0820","","F","Service Line Amount"
"C","278-B2","7","0820","SV2","04","","","","","2","0820","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","7","0820","SV2","04","","","","","2","0820","","F","Unit or Basis for Measurement Code"
"E","278-B2","7","0820","SV2","04","","","355","F2","2","0820","4177","","International Unit is used to indicate dosage amount. Dosage amount is only used for drug claims when the dosage of the drug is variable within a single NDC number (e.g., blood factors)."
"C","278-B2","7","0820","SV2","05","","","","","2","0820","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","7","0820","SV2","05","","","","","2","0820","","F","Service Unit Count"
"C","278-B2","7","0820","SV2","06","","","","","2","0820","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","7","0820","SV2","06","","","","","2","0820","","F","Service Line Rate"
"C","278-B2","7","0820","SV2","10","","","","","2","0820","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","7","0820","SV2","10","","","","","2","0820","","F","Nursing Home Level of Care"
"B","278-B2","7","0830","","","","","","","2","0830","4173","","Required when valued on the notification and the notification is not valid at this segment. If not required by this implementation guide, do not send."
"B","278-B2","7","0830","","","","","","","2","0830","4182","E","SV3*AD:D2150*80****1~"
"B","278-B2","7","0830","","","","","","","2","0830","","A","Dental Service"
"D","278-B2","7","0830","SV3","01","C003","01","","","2","0830","","F","Product or Service ID Qualifier"
"D","278-B2","7","0830","SV3","01","C003","02","","","2","0830","","F","Procedure Code"
"D","278-B2","7","0830","SV3","01","C003","03","","","2","0830","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","7","0830","SV3","01","C003","03","","","2","0830","4183","","A modifier must be from code source 135 (American Dental Association) found in the `Code on Dental Procedures and Nomenclature', if such modifier is available."
"D","278-B2","7","0830","SV3","01","C003","03","","","2","0830","","F","Procedure Modifier"
"D","278-B2","7","0830","SV3","01","C003","04","","","2","0830","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","7","0830","SV3","01","C003","04","","","2","0830","4183","","A modifier must be from code source 135 (American Dental Association) found in the `Code on Dental Procedures and Nomenclature', if such modifier is available."
"D","278-B2","7","0830","SV3","01","C003","04","","","2","0830","","F","Procedure Modifier"
"D","278-B2","7","0830","SV3","01","C003","05","","","2","0830","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","7","0830","SV3","01","C003","05","","","2","0830","4183","","A modifier must be from code source 135 (American Dental Association) found in the `Code on Dental Procedures and Nomenclature', if such modifier is available."
"D","278-B2","7","0830","SV3","01","C003","05","","","2","0830","","F","Procedure Modifier"
"D","278-B2","7","0830","SV3","01","C003","06","","","2","0830","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","7","0830","SV3","01","C003","06","","","2","0830","4183","","A modifier must be from code source 135 (American Dental Association) found in the `Code on Dental Procedures and Nomenclature', if such modifier is available."
"D","278-B2","7","0830","SV3","01","C003","06","","","2","0830","","F","Procedure Modifier"
"D","278-B2","7","0830","SV3","01","C003","08","","","2","0830","4230","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","7","0830","SV3","01","C003","08","","","2","0830","","F","Product or Service ID"
"C","278-B2","7","0830","SV3","02","","","","","2","0830","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","7","0830","SV3","02","","","","","2","0830","","F","Service Line Amount"
"C","278-B2","7","0830","SV3","04","","","","","2","0830","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","7","0830","SV3","04","C006","01","","","2","0830","","F","Oral Cavity Designation Code"
"D","278-B2","7","0830","SV3","04","C006","02","","","2","0830","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","7","0830","SV3","04","C006","02","","","2","0830","4184","","Use this code for the additional oral cavity designation codes. The code values in SV304-1 apply to all occurrences of the oral cavity designation code."
"D","278-B2","7","0830","SV3","04","C006","02","","","2","0830","","F","Oral Cavity Designation Code"
"D","278-B2","7","0830","SV3","04","C006","03","","","2","0830","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","7","0830","SV3","04","C006","03","","","2","0830","4184","","Use this code for the additional oral cavity designation codes. The code values in SV304-1 apply to all occurrences of the oral cavity designation code."
"D","278-B2","7","0830","SV3","04","C006","03","","","2","0830","","F","Oral Cavity Designation Code"
"D","278-B2","7","0830","SV3","04","C006","04","","","2","0830","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","7","0830","SV3","04","C006","04","","","2","0830","4184","","Use this code for the additional oral cavity designation codes. The code values in SV304-1 apply to all occurrences of the oral cavity designation code."
"D","278-B2","7","0830","SV3","04","C006","04","","","2","0830","","F","Oral Cavity Designation Code"
"D","278-B2","7","0830","SV3","04","C006","05","","","2","0830","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","7","0830","SV3","04","C006","05","","","2","0830","4184","","Use this code for the additional oral cavity designation codes. The code values in SV304-1 apply to all occurrences of the oral cavity designation code."
"D","278-B2","7","0830","SV3","04","C006","05","","","2","0830","","F","Oral Cavity Designation Code"
"C","278-B2","7","0830","SV3","05","","","","","2","0830","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","7","0830","SV3","05","","","","","2","0830","","F","Prosthesis, Crown, or Inlay Code"
"E","278-B2","7","0830","SV3","05","","","1358","R","2","0830","4185","","If the SV305 = R, then the DTP segment in the 2400 loop for Prior Placement is Required."
"C","278-B2","7","0830","SV3","06","","","","","2","0830","4186","","Number of procedures."
"C","278-B2","7","0830","SV3","06","","","","","2","0830","","F","Service Unit Count"
"B","278-B2","7","0840","","","","","","","2","0840","4173","","Required when valued on the notification and the notification is not valid at this segment. If not required by this implementation guide, do not send."
"B","278-B2","7","0840","","","","","","","2","0840","4187","A","Tooth Information"
"B","278-B2","7","0840","","","","","","","2","0840","4188","E","TOO*JP*12*L:O~"
"C","278-B2","7","0840","TOO","01","","","","","2","0840","","F","Code List Qualifier Code"
"C","278-B2","7","0840","TOO","02","","","","","2","0840","","F","Tooth Code"
"C","278-B2","7","0840","TOO","03","","","","","2","0840","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","7","0840","TOO","03","C005","01","","","2","0840","","F","Tooth Surface Code"
"D","278-B2","7","0840","TOO","03","C005","02","","","2","0840","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","7","0840","TOO","03","C005","02","","","2","0840","4231","","Use code values from TOO03-1."
"D","278-B2","7","0840","TOO","03","C005","02","","","2","0840","","F","Tooth Surface Code"
"D","278-B2","7","0840","TOO","03","C005","03","","","2","0840","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","7","0840","TOO","03","C005","03","","","2","0840","4231","","Use code values from TOO03-1."
"D","278-B2","7","0840","TOO","03","C005","03","","","2","0840","","F","Tooth Surface Code"
"D","278-B2","7","0840","TOO","03","C005","04","","","2","0840","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","7","0840","TOO","03","C005","04","","","2","0840","4231","","Use code values from TOO03-1."
"D","278-B2","7","0840","TOO","03","C005","04","","","2","0840","","F","Tooth Surface Code"
"D","278-B2","7","0840","TOO","03","C005","05","","","2","0840","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","7","0840","TOO","03","C005","05","","","2","0840","4231","","Use code values from TOO03-1."
"D","278-B2","7","0840","TOO","03","C005","05","","","2","0840","","F","Tooth Surface Code"
"B","278-B2","7","1700","","","","","","","2","1700","3809","E","NM1*SJ*1*WATSON*SUSAN****34*987654321~"
"B","278-B2","7","1700","","","","","","","2","1700","3854","A","Service Provider Name"
"B","278-B2","7","1700","","","","","","","2","1700","4173","","Required when valued on the notification and the notification is not valid at this segment. If not required by this implementation guide, do not send."
"B","278-B2","7","1700","","","","","","","2","1700","4189","","Use this segment to return the name and identification number of the service provider (person, group, or facility) or the specialty entity that was not valid at this level."
"C","278-B2","7","1700","NM1","01","","","","","2","1700","","F","Entity Identifier Code"
"C","278-B2","7","1700","NM1","02","","","","","2","1700","","F","Entity Type Qualifier"
"C","278-B2","7","1700","NM1","03","","","","","2","1700","4174","D","Required when returning data that was not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","7","1700","NM1","03","","","","","2","1700","","F","Service Provider Last or Organization Name"
"C","278-B2","7","1700","NM1","04","","","","","2","1700","4234","D","Required when NM103 is valued and NM102 = 1 and the Notification is not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","7","1700","NM1","04","","","","","2","1700","","F","Service Provider First Name"
"C","278-B2","7","1700","NM1","05","","","","","2","1700","4235","D","Required when NM104 is present and the Notification is not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","7","1700","NM1","05","","","","","2","1700","","F","Service Provider Middle Name"
"C","278-B2","7","1700","NM1","06","","","","","2","1700","4236","D","Required when the Information Source uses military title or rank to further identify the individual provider and the Notification is not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","7","1700","NM1","06","","","","","2","1700","","F","Service Provider Name Prefix"
"C","278-B2","7","1700","NM1","07","","","","","2","1700","4237","D","Required when the Information Source uses the name suffix to further identify the individual provider and the Notification is not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","7","1700","NM1","07","","","","","2","1700","","F","Service Provider Name Suffix"
"C","278-B2","7","1700","NM1","08","","","","","2","1700","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","7","1700","NM1","08","","","","","2","1700","","F","Identification Code Qualifier"
"E","278-B2","7","1700","NM1","08","","","66","XX","2","1700","4251","","Required for providers on or after the mandated HIPAA National Provider Identifier (NPI) implementation date when the provider has an NPI and it is available to the UMO.
OR
Required for providers before the mandated HIPAA NPI implementation date when the provider has an NPI and the UMO has the capability to send it.<R><R> ;If not required by this implementation guide, do not send."
"C","278-B2","7","1700","NM1","09","","","","","2","1700","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","7","1700","NM1","09","","","","","2","1700","","F","Service Provider Identifier"
"B","278-B2","7","1800","","","","","","","2","1800","3798","E","REF*1G*123456~"
"B","278-B2","7","1800","","","","","","","2","1800","3859","A","Service Provider Supplemental Identification"
"B","278-B2","7","1800","","","","","","","2","1800","4243","","Required when used by the Information Receiver to identify the Patient Event Provider and the notification is not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","7","1800","REF","01","","","","","2","1800","","F","Reference Identification Qualifier"
"E","278-B2","7","1800","REF","01","","","128","EI","2","1800","3919","","Not used if NM108 = 24."
"E","278-B2","7","1800","REF","01","","","128","SY","2","1800","4020","","The social security number may not be used for Medicare. Not used if NM108 = 34."
"E","278-B2","7","1800","REF","01","","","128","ZH","2","1800","3938","","Use for the provider ID as assigned by the UMO identified in Loop 2000A."
"C","278-B2","7","1800","REF","02","","","","","2","1800","","F","Service Provider Supplemental Identifier"
"C","278-B2","7","1800","REF","03","","","","","2","1800","4149","D","Required when REF01 = 0B to report the two character state ID of the state assigning the State License Number and the notification is not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","7","1800","REF","03","","","","","2","1800","","F","License Number State Code"
"B","278-B2","7","2300","","","","","","","2","2300","4009","E","AAA*N**43*C~"
"B","278-B2","7","2300","","","","","","","2","2300","4190","A","Service Provider Request Validation"
"B","278-B2","7","2300","","","","","","","2","2300","4195","","Required when the request is not valid at this level to indicate the data condition that prohibits processing of the Notification, or Information Copy. If not required by this implementation guide, do not send."
"C","278-B2","7","2300","AAA","01","","","","","2","2300","","F","Valid Request Indicator"
"C","278-B2","7","2300","AAA","03","","","","","2","2300","4030","D","Required when AAA01 = ""N"". If not required by this implementation guide, do not send."
"C","278-B2","7","2300","AAA","03","","","","","2","2300","","F","Reject Reason Code"
"E","278-B2","7","2300","AAA","03","","","901","15","2","2300","3942","","Use when data is missing that is not covered by another reject reason code. Use to indicate when there is not enough information to identify the service provider."
"E","278-B2","7","2300","AAA","03","","","901","33","2","2300","3943","","Use for input errors not covered by another reject reason code."
"C","278-B2","7","2300","AAA","04","","","","","2","2300","","F","Follow-up Action Code"
"B","278-B2","7","2400","","","","","","","2","2400","3885","A","Service Provider Information"
"B","278-B2","7","2400","","","","","","","2","2400","4122","E","PRV*PE*PXC*203BS0133X~"
"B","278-B2","7","2400","","","","","","","2","2400","4239","","Required when used by the Information Receiver to identify the provider and the notification is not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","7","2400","PRV","01","","","","","2","2400","","F","Provider Code"
"E","278-B2","7","2400","PRV","01","","","1221","AS","2","2400","4156","","Use only when NM101 = DD."
"E","278-B2","7","2400","PRV","01","","","1221","OP","2","2400","4158","","Use only when NM101 = 72."
"E","278-B2","7","2400","PRV","01","","","1221","OR","2","2400","4159","","Use only when NM101 = DK."
"E","278-B2","7","2400","PRV","01","","","1221","OT","2","2400","4160","","Use only when NM101 = 73."
"E","278-B2","7","2400","PRV","01","","","1221","PC","2","2400","4161","","Use only when NM101 = P3."
"E","278-B2","7","2400","PRV","01","","","1221","PE","2","2400","4162","","Use only when NM101 = SJ."
"C","278-B2","7","2400","PRV","02","","","","","2","2400","","F","Reference Identification Qualifier"
"C","278-B2","7","2400","PRV","03","","","","","2","2400","","F","Provider Taxonomy Code"
"B","278-B2","7","2800","","","","","","","2","2800","3816","E","SE*24*0001~"
"B","278-B2","7","2800","","","","","","","2","2800","","A","Transaction Set Trailer"
"C","278-B2","7","2800","SE","01","","","","","2","2800","","F","Transaction Segment Count"
"C","278-B2","7","2800","SE","02","","","","","2","2800","4001","","The Transaction Set Control Numbers in ST02 and SE02 must be identical. The number is assigned by the originator and must be unique within a functional group (GS-GE). For example, start with the number 0001 and increment from there. The number also aids in error resolution research."
"C","278-B2","7","2800","SE","02","","","","","2","2800","","F","Transaction Set Control Number"
